LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
270000,1,1,2,34,-1,-1,0,-1,-1,-1,5780,12006,15736,6621,2457,14923,12006,5736,6621,2457,14923,1712,0
200000,1,2,2,31,0,0,0,0,0,0,33781,35879,26043,27497,29082,31647,3000,2000,2000,2000,3000,4000,0
90000,1,2,2,33,-1,0,0,0,0,0,35785,29155,27485,29266,35598,38449,15155,5485,5263,8598,5449,6537,0
210000,2,2,1,35,0,0,0,0,0,0,37148,35754,34232,32331,30337,28012,2000,2000,2444,1342,1038,2000,0
20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0
250000,2,2,1,75,0,-1,-1,-1,-1,-1,52874,1631,1536,1010,5572,794,1631,1536,1010,5572,794,1184,0
10000,2,3,2,22,0,0,0,0,-2,-2,8109,9778,8259,0,0,0,2000,1036,0,0,0,0,1
250000,2,1,1,34,0,0,2,0,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,0
360000,1,1,2,26,1,-2,-2,-2,-1,-1,-8,-8,-8,-8,1677,2600,0,0,0,1685,2613,0,0
280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0
360000,2,1,1,34,-1,0,0,-1,0,-1,12339,10138,23912,9785,166,2142,10000,13912,9785,0,2142,4230,0
360000,1,1,2,29,1,-2,-1,-1,-2,-2,0,0,77,0,0,0,0,77,0,0,0,0,0
80000,2,1,2,23,0,0,0,0,0,-1,53261,38091,19744,14556,0,1460,4500,2011,3105,0,1460,0,0
200000,1,1,2,31,-2,-2,-2,-2,-2,-2,100,100,100,100,100,100,100,100,100,100,100,100,0
30000,2,3,2,52,2,2,7,7,7,7,2450,2450,2450,2450,2450,2450,0,0,0,0,0,0,1
50000,1,1,1,37,0,0,-2,-2,-2,-2,30400,0,0,0,0,0,500,0,0,0,0,0,0
160000,2,3,1,51,-1,2,-1,-1,-1,-1,2000,1000,2125,2125,1000,2125,0,2125,2125,1000,2125,23250,0
610000,2,1,2,31,0,0,0,0,0,0,142764,126606,67887,58397,105301,105965,6540,2100,2150,50000,4700,2000,0
20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1
360000,1,1,2,28,-1,-1,-1,-1,-1,-1,7071,401,3545,10540,10132,6220,1510,3575,10573,10155,6240,16071,0
30000,2,1,2,40,-1,-1,2,2,2,2,142,215,139,19,19,79,355,120,0,0,60,60,0
50000,2,2,1,34,0,0,0,0,0,0,10821,11877,13656,14949,16567,16826,1221,2000,1500,2000,2000,4000,0
50000,1,2,2,36,0,0,0,0,0,0,5197,6015,6615,7131,6987,6980,1300,1100,1000,500,500,1000,0
320000,1,2,1,37,-2,-2,-2,-2,-2,-2,43528,498,429,14257,5417,2967,500,431,14328,5439,2980,5028,0
170000,2,3,3,56,1,-2,-1,-1,-2,-1,0,0,1991,0,0,150,0,1991,0,0,150,614,0
110000,2,2,2,32,0,0,2,2,2,2,65299,74565,78516,79829,81603,83206,11000,5800,3200,3200,3100,3000,0
50000,1,3,2,57,0,0,0,0,0,0,47917,48455,48120,28450,29046,29647,1988,1989,1018,1054,1084,1048,0
220000,1,1,2,24,0,0,0,-1,-1,-1,105607,108917,111520,8303,0,85632,5000,5050,8303,0,85632,0,0
100000,1,1,2,38,0,0,0,0,0,0,40810,42653,42351,43011,43011,28947,2502,1200,860,0,579,0,0
100000,2,1,2,48,2,2,2,2,2,0,15355,17949,18158,18365,17932,18147,3164,800,800,0,662,3000,0
60000,2,3,3,42,0,0,0,0,0,0,41322,29091,28097,28665,28768,29064,1488,1394,962,1500,2541,2000,0
360000,2,2,2,53,-1,-1,-1,-1,-1,-1,10733,15206,15000,9744,11114,8123,15206,15032,9769,11114,8123,8736,0
140000,2,2,2,23,0,0,0,0,0,0,44733,44144,44739,43455,43980,44614,2100,2027,1800,1600,1750,1700,0
330000,2,3,2,45,0,0,0,0,0,0,335196,334954,335527,333860,335760,330121,12388,12378,12116,12450,12213,11678,0
140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0
20000,1,2,1,33,0,0,0,0,0,0,11026,9535,10510,10472,10140,10101,1174,1149,501,356,507,458,0
60000,1,3,1,31,2,0,0,-2,-2,-2,35369,35320,0,0,0,0,1027,0,0,0,0,0,1
220000,1,2,2,25,0,0,0,0,0,0,168286,155893,119575,51317,51926,34608,10000,3900,1000,1000,2000,2000,0
200000,2,1,1,37,1,-2,-2,-2,-1,-1,0,0,0,0,595,0,0,0,0,595,0,2370,0
140000,2,1,1,51,0,0,0,0,0,0,56764,57950,57668,55024,55883,55744,2115,2004,1941,2073,1909,2132,0
100000,1,3,1,52,0,0,2,2,2,0,4657,6068,6418,6781,6144,7638,1500,1000,1000,0,2000,2000,1
60000,1,1,2,29,-1,2,-1,-1,2,2,546,255,464,1173,732,1023,0,500,1000,0,582,0,1
170000,2,2,2,27,0,0,0,0,0,0,162671,166202,161973,167201,161327,171863,7500,6000,10000,7000,16000,6200,0
480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0
190000,2,1,2,26,0,0,0,0,0,2,31061,32129,33142,33726,35758,35171,1750,1720,1300,2600,0,1400,0
200000,1,2,1,38,0,0,0,0,0,0,152856,156104,158279,161934,165447,168802,6000,5000,5000,5000,4917,10000,0
80000,1,1,2,31,-1,-1,-1,-1,2,-1,5994,32223,8308,4082,538,4085,13647,8314,4082,0,4085,0,0
60000,2,1,2,23,1,2,2,2,2,2,29332,28577,30805,31601,32349,32965,0,2709,1600,1400,1300,1200,1
500000,2,2,2,43,-1,-1,-1,0,0,-1,3959,0,285138,249445,222831,200,0,285138,4989,100,200,528666,0
100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0
280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0
210000,2,1,1,42,1,-2,-1,-1,-2,-2,0,0,2490,0,0,0,0,2490,0,0,0,0,1
110000,2,2,2,33,1,-2,-2,-2,-2,-1,0,0,0,0,0,150,0,0,0,0,300,102,1
360000,2,2,1,48,0,0,0,0,0,0,226430,231878,234192,190211,173557,146511,9100,7300,5800,5600,5600,4100,0
50000,2,3,1,51,-1,-1,-1,-1,-2,-2,752,300,5880,0,0,0,300,5880,0,0,0,0,1
50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1
70000,2,2,2,23,0,0,0,0,0,0,49605,51804,53041,55150,57098,59141,3000,2700,3000,3000,3000,4700,0
60000,2,2,1,33,0,0,0,0,0,0,58203,36367,20934,20694,20175,19421,1506,1298,1000,721,811,599,0
170000,2,2,2,28,0,0,-1,-1,-2,-2,28304,17616,308,0,0,0,4000,308,0,0,0,0,0
200000,1,1,2,26,-2,-2,-2,-2,-1,-1,12716,16164,1954,5297,1483,3393,16244,1963,3359,4849,3410,2994,0
140000,1,3,1,36,0,0,0,0,0,0,100594,78372,91502,90859,88616,88450,3000,30000,4000,4000,3400,3300,0
30000,1,2,1,43,3,2,2,2,2,2,1700,2610,1914,2182,2000,2566,1100,0,300,0,600,0,0
230000,2,2,2,38,-1,-1,-1,-1,-1,-1,10237,2795,1350,371,2980,0,2795,1350,371,2980,0,2213,0
300000,2,2,2,31,-1,-1,-1,-1,0,-1,3345,1083,4339,7423,4059,2508,1087,4355,7423,0,2508,4141,0
140000,2,1,2,27,0,0,0,0,0,0,142428,144105,143952,142590,142650,142620,10000,10000,6000,6000,6000,5600,0
360000,1,2,2,29,0,0,0,0,0,0,268112,263368,259969,255832,245462,250244,9429,8738,7017,7154,7073,7300,0
230000,2,6,2,46,0,0,0,0,0,0,221590,227397,230302,186635,189896,193351,10000,9000,8000,8000,7500,7000,0
50000,1,2,2,23,1,2,2,2,0,0,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,0
10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1
60000,2,2,2,29,0,0,0,0,0,0,27199,28358,28937,29614,30391,23159,1900,1400,1000,1100,1000,420,0
240000,2,2,2,26,0,0,-1,-1,-1,-1,14348,7500,7816,7500,7500,14497,1000,7816,7500,7500,14497,500,0
420000,1,2,1,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,0
30000,1,2,2,29,8,7,6,5,4,3,34423,33952,33165,32391,31332,30558,0,0,0,0,0,0,0
210000,2,1,2,32,0,0,0,0,0,0,67374,69489,70937,71761,73505,74827,3200,3200,2600,2900,2700,3000,0
30000,2,2,1,32,-2,-2,-2,-2,-2,-2,0,0,0,0,7463,6804,0,0,0,7463,6804,4985,0
220000,2,1,1,36,-1,-1,0,-1,-1,-1,996,4102,4111,1057,990,1324,4102,1111,1057,990,1324,1039,0
130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0
70000,1,3,1,51,2,2,0,0,0,0,54968,51384,49734,50361,49185,47245,0,2100,1950,1900,2219,2100,1
360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,1,1,2,41,2,2,2,2,2,0,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,1250,0
40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0
200000,2,3,2,47,0,0,0,0,0,0,203183,202961,194449,196814,200526,198717,7521,7000,7000,7128,8000,7100,0
170000,2,2,2,28,-1,0,0,2,0,0,2948,3848,5646,5464,5577,5889,1105,1903,0,296,500,95,1
60000,2,1,2,27,2,0,0,0,2,0,19625,20347,21669,23005,22499,22873,1342,1664,2000,0,900,846,1
210000,2,1,2,28,-1,-1,-1,0,0,0,11442,3738,7526,10217,11737,8114,3738,7526,5000,5000,162,27760,0
360000,2,1,1,40,2,2,2,0,0,0,105167,115468,112157,114690,117845,120238,12000,0,5900,5000,4500,4700,1
100000,2,2,1,30,0,0,0,0,0,0,97062,74352,75004,76705,78168,80347,2800,2700,5400,3500,3500,3200,0
180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0
230000,2,1,2,38,0,0,0,0,0,0,224020,227311,184500,128190,130883,133504,8750,7470,4540,4710,4750,4900,0
50000,1,2,2,36,0,0,0,0,-1,0,5916,6172,4123,680,978,978,1212,1200,0,978,0,0,0
50000,1,2,2,26,0,0,0,0,0,0,48036,46787,42011,19147,2845,20041,2100,1227,383,2000,20000,649,1
320000,1,1,1,47,-1,-1,-1,-1,-1,-1,9192,13920,4022,316,8420,316,13942,4022,316,8420,316,516,0
330000,2,2,2,29,0,0,0,0,-1,-1,49549,133957,128212,79407,8875,49880,90000,3000,5000,8875,49880,519,0
300000,1,1,2,34,1,-2,-1,0,-1,-1,0,0,13001,12601,19595,203,0,13001,0,19595,203,0,1
50000,1,1,2,26,-1,0,0,0,0,0,15448,16392,18096,18425,18619,19060,1500,2000,1500,1200,900,1000,1
50000,1,2,1,25,0,0,0,0,0,0,27699,28513,29341,29928,29533,28538,1565,1393,980,994,1024,886,0
50000,2,3,2,26,0,0,0,0,0,0,9935,11029,12795,9983,10884,7666,1234,2000,297,1000,307,361,0
230000,1,1,1,59,-1,0,0,0,0,0,208459,206331,203813,201331,198999,191671,7536,7277,7100,7120,6844,6945,1
70000,1,2,1,48,0,0,0,0,0,-1,50927,39883,32017,17630,9730,6400,2100,1217,500,0,6400,4590,1
200000,2,2,1,28,0,0,0,0,0,0,81865,86790,8441,97041,103541,3632,5000,2000,89000,6500,91,1504,0
60000,1,1,2,30,0,-1,0,0,0,0,15380,4116,19453,17912,18480,18848,4147,19435,1000,1000,1000,1000,0
180000,2,2,2,35,0,0,0,-2,-2,-2,119333,123150,0,0,0,0,6000,0,0,0,0,0,0
200000,2,2,2,33,0,0,0,0,0,0,11253,12852,14024,14512,16325,11905,2000,1322,2000,2000,1200,3000,0
20000,1,3,1,43,-1,-1,0,0,0,0,227,20351,20237,19339,19450,19337,22359,1305,1258,1459,3457,1700,0
110000,2,1,2,27,0,0,0,0,0,0,101640,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,2800,0
210000,2,3,1,53,0,0,0,0,0,0,57192,58472,59658,60466,61593,65163,2800,2753,2400,2255,4767,0,0
160000,2,1,1,37,-1,-1,-1,-1,-1,-1,316,316,0,316,632,0,316,0,316,632,0,316,0
200000,1,1,1,52,-2,-2,-2,-2,-2,-2,3858,2690,3410,0,0,82150,2690,3487,0,0,85900,396,0
50000,1,2,1,38,1,2,0,0,0,0,58102,59011,56272,53663,51507,50616,2500,2500,2000,2000,3200,2000,0
250000,2,2,1,40,0,0,0,0,-1,2,44930,137101,90801,0,1069,919,120041,4435,0,1069,0,67619,0
170000,2,2,2,33,1,-1,-1,-1,-2,-2,0,7042,2986,0,0,0,7042,2986,0,0,0,0,0
60000,2,1,2,26,1,2,0,0,0,0,29649,21657,28736,42733,46404,37993,0,8000,15000,9000,10000,0,0
360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0
270000,2,1,1,40,0,0,0,-2,-2,-2,18751,5706,0,0,0,0,1000,0,0,0,0,0,0
140000,2,2,2,29,0,0,0,0,0,0,20110,17102,18862,19996,21214,21085,3000,3000,3000,3500,2000,2000,0
50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0
330000,2,1,1,37,-1,-1,-1,-1,0,-1,4785,3403,0,5882,5882,1013,3523,0,5882,0,1013,0,0
380000,1,3,1,53,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
250000,2,3,2,35,-2,-2,-2,-2,-2,-2,7244,8472,1738,6706,2391,11082,8514,1751,6739,2403,11137,13407,0
50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0
330000,2,1,1,50,-1,-1,-1,-1,-2,-2,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,0
50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1
50000,2,2,2,31,1,-2,-1,-1,-1,2,0,0,190,0,36059,32851,0,190,0,36059,0,2420,0
360000,1,1,2,28,-1,-1,-1,-1,-1,-1,20223,52962,3978,1743,2828,50537,53228,3997,1750,2853,51041,3219,0
390000,2,1,2,27,0,0,0,0,0,0,304867,299998,300426,292869,292885,281826,13007,10612,10041,11000,10512,7000,1
230000,2,2,1,41,-1,-1,-1,-1,-1,-1,819,18163,5473,8162,6985,9130,18163,5654,12887,6985,9130,6554,0
180000,1,2,1,36,2,2,-2,-2,-2,-2,83538,0,0,0,0,0,0,0,0,0,0,0,1
90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0
180000,1,1,1,39,0,0,-1,0,0,-1,274731,281713,242063,122295,-1005,1005,11000,145000,26000,0,101005,1898,0
140000,2,1,1,36,-1,-1,-2,-1,0,0,4036,0,0,2971,1607,0,0,0,2971,0,0,0,0
50000,1,3,2,26,0,0,0,0,0,0,35429,30626,30241,20284,19166,19567,1537,1947,800,1000,718,683,0
30000,2,2,2,26,0,0,0,0,0,0,17893,19012,20123,20222,20796,19844,1411,1522,621,795,715,1000,1
230000,1,1,2,29,0,0,2,2,2,0,40732,44563,42804,44020,41278,34672,5000,0,3000,0,3000,3000,0
20000,2,2,2,40,0,0,0,0,0,-2,19816,20396,20102,19575,0,0,1601,2203,2114,0,0,0,0
320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0
180000,1,2,2,29,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
180000,2,2,2,31,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1576,0
280000,2,2,1,39,1,-1,0,0,0,0,-1312,35918,37297,37154,32581,33316,38621,2000,1130,922,1011,5000,1
50000,2,1,2,26,-1,-1,-1,-1,-1,-1,1156,316,316,316,316,316,316,316,316,316,316,316,0
270000,1,2,2,37,0,0,0,0,0,0,37695,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,2000,0
500000,1,3,1,39,0,0,0,0,0,0,315201,332071,375070,354839,369532,367399,25000,50000,20000,19586,14122,12022,0
360000,1,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
270000,1,1,2,32,-2,-2,-2,-2,-2,-2,0,0,1100,300,-200,-200,0,1100,300,0,0,0,0
150000,1,2,1,50,-1,0,0,2,0,0,55336,58255,36260,35037,34631,63156,5085,4000,0,2000,30000,5000,0
220000,2,2,1,36,-1,-1,-1,0,-1,-1,396,1648,792,396,396,396,1648,792,0,396,396,792,1
130000,1,3,2,43,1,-1,-1,-2,-1,-1,1018,6377,-2,935,4985,1212,6433,2,937,4990,1215,9546,1
80000,2,2,1,30,0,0,0,0,0,2,21507,13207,13997,10914,10685,5515,1700,1400,200,1000,0,500,0
30000,2,3,2,53,-1,-1,-1,-1,-1,-1,1598,2487,0,4810,2796,3245,2487,0,4810,2796,3245,7305,1
100000,2,2,2,27,0,0,0,0,0,0,37767,34457,30036,30337,30997,32904,1788,1799,1100,1150,2423,0,0
200000,2,1,2,29,1,-1,-1,-1,-1,-1,55788,8360,4897,5065,19468,0,8394,4927,5089,19561,0,125,0
20000,2,2,1,43,2,0,0,0,0,2,15294,16340,17359,17776,19293,18844,1300,1300,700,1800,0,1000,0
90000,2,1,2,24,0,0,0,0,0,0,13141,14526,15482,18219,22737,23387,1600,1500,3000,5000,1020,764,1
150000,1,2,2,35,0,0,0,-1,-1,-1,60015,72227,51364,54340,0,2129,20000,30000,54340,0,2129,0,0
180000,2,1,2,24,-1,-1,2,0,0,-2,14670,22087,21282,10200,0,0,37867,0,200,0,0,0,0
370000,2,1,2,38,-1,-1,-1,-1,-1,-1,929,328,0,1539,1815,0,328,0,1539,1815,0,0,0
50000,2,2,3,30,1,3,2,0,0,0,52515,51424,49967,20036,20076,37615,0,0,2000,1000,1000,1600,1
200000,1,1,2,31,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,1,1,1,47,-1,-1,-1,0,-1,-1,1548,-32,177639,174397,4852,4125,0,177671,3508,4876,4188,10007,0
20000,2,2,2,23,0,0,2,0,0,0,18355,20259,19534,16467,15746,13246,2900,10,577,430,1017,4,0
50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1
500000,2,1,1,38,-1,2,-1,-1,-1,0,600,300,501,300,600,450,0,501,300,600,300,600,0
390000,2,1,2,45,2,2,2,-1,2,2,834,155,-1690,4240,3346,2698,1,1693,6940,7,1230,3,0
50000,1,1,2,26,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,2,1,2,25,2,0,0,0,0,-1,84710,87334,87862,18889,-783,73568,4000,3258,1000,0,77500,0,0
140000,2,2,1,48,0,-1,-1,-1,-1,-1,1154,1233,862,1355,1130,21361,1233,1075,1355,1130,21361,1347,0
50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0
260000,2,3,1,53,1,-1,-1,-2,-2,-1,0,165,526,452,397,485,165,526,452,397,485,459,0
230000,2,1,2,28,0,0,0,0,0,0,30141,131255,110503,99283,97599,96116,120093,8034,3013,4010,5882,3000,0
60000,2,2,1,46,0,0,0,0,0,0,21148,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,1500,0
30000,2,1,2,27,0,0,-1,0,0,-2,1512,2458,664,1814,0,0,1000,664,1500,0,0,0,0
250000,1,1,2,41,-1,-1,-1,0,-1,-1,1338,-24,8324,5872,23020,2367,0,8348,0,23020,2367,3117,1
50000,2,1,2,24,1,2,2,2,2,2,36166,37188,37680,38462,39228,40035,1900,1400,1700,1532,1600,0,1
260000,1,1,1,30,-1,-1,-1,0,0,-1,1131,291,582,291,0,291,291,582,0,0,130291,651,1
160000,2,2,0,37,0,0,0,0,0,0,2694,38433,38870,28574,27268,28021,35888,1325,891,1000,1098,426,0
50000,2,1,2,30,0,0,0,0,0,2,14811,16262,17286,17895,19450,18990,2000,1600,1200,2000,0,1000,0
50000,1,1,1,41,-1,-1,-1,-1,-1,-1,508,672,226,390,220,320,1000,390,1000,220,640,1000,0
50000,2,2,2,29,0,0,0,0,0,0,47081,49316,50409,45545,39963,41145,3000,2000,2000,2000,2000,2000,1
120000,2,2,1,32,0,0,0,0,0,0,113869,116110,111978,112822,114969,117949,5498,5500,4000,4300,5012,4003,0
20000,1,1,2,40,0,0,0,2,0,0,10934,13738,16567,10411,13057,14340,3000,3100,0,3000,1500,0,0
130000,2,3,1,43,0,0,0,0,0,0,130067,129385,96775,98071,97743,100124,5540,4403,3814,3562,4021,3681,0
30000,2,2,2,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,0
30000,2,2,1,35,0,0,0,0,0,0,25078,25538,25880,25873,26157,26918,1500,1387,893,1000,1501,2000,0
30000,2,2,1,25,0,0,0,0,0,2,30606,29579,30291,30616,30456,29818,1800,1512,1259,2500,0,1000,0
50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1
30000,1,2,1,43,1,2,0,0,0,2,20518,19901,20905,21509,25183,24242,0,1342,946,4200,0,1000,0
280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0
290000,2,2,2,26,0,0,0,-1,-1,0,20807,99860,100000,3015,23473,1448,80000,3000,3015,23473,1148,4900,0
20000,1,1,2,27,0,0,0,0,0,0,20571,19089,19658,19453,19108,18868,1323,1600,830,700,674,376,0
110000,2,3,0,31,0,0,0,0,0,0,89989,84229,79288,73315,63818,63208,4000,5000,3000,3000,3000,8954,0
390000,2,3,2,35,0,0,0,0,0,0,355215,363325,373181,252195,257496,263018,13802,16525,8893,9229,10000,9435,1
20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,1,1,2,25,0,0,0,0,0,0,58839,53235,38533,39639,39619,39140,2018,1900,2000,1500,1900,2000,0
90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0
30000,2,2,3,22,1,2,4,3,2,2,22582,26518,25814,25110,24569,26357,4600,0,0,0,2200,2500,0
20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0
330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0
360000,2,2,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
200000,1,1,2,32,0,0,0,0,0,0,43515,44557,45574,49022,47459,49666,1739,1756,2662,1726,3000,2500,0
80000,2,1,2,23,0,0,0,0,0,0,77024,73281,57806,37642,46235,47110,3212,1600,956,40000,1800,1700,1
80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0
